rho,model,macro_auc_mean,macro_auc_sd,realized_lds_mean,realized_lds_sd,label_density_mean,label_density_sd,true_score_auc_mean,true_score_auc_sd,elapsed_seconds_mean
0.0,BR,0.6723809236049157,0.020819944089111676,0.10368888888888886,0.0065455667779379,0.1,0.0,0.7931702222222221,0.0058041983007950234,3.186901029999717
0.0,CC,0.6714279192425242,0.02442863434635082,0.10368888888888886,0.0065455667779379,0.1,0.0,0.7931702222222221,0.0058041983007950234,3.2131147899999633
0.0,GCN,0.633645888385077,0.031155013746554966,0.10368888888888886,0.0065455667779379,0.1,0.0,0.7931702222222221,0.0058041983007950234,28.644470579999325
0.0,ML-KNN,0.5889308537551756,0.021306899381672496,0.10368888888888886,0.0065455667779379,0.1,0.0,0.7931702222222221,0.0058041983007950234,3.965294649999123
0.25,BR,0.6708526144194309,0.02068815065748896,0.16402222222222218,0.00785705627657926,0.1,0.0,0.7935455555555555,0.006397749432824976,2.9333016699980363
0.25,CC,0.6644562165885366,0.01996377061321783,0.16402222222222218,0.00785705627657926,0.1,0.0,0.7935455555555555,0.006397749432824976,2.898074350001116
0.25,GCN,0.624429750013675,0.036981861233793274,0.16402222222222218,0.00785705627657926,0.1,0.0,0.7935455555555555,0.006397749432824976,26.83563523000048
0.25,ML-KNN,0.577226474143052,0.03225688049653865,0.16402222222222218,0.00785705627657926,0.1,0.0,0.7935455555555555,0.006397749432824976,1.7200496000004932
0.5,BR,0.6738384363235937,0.016965224624949756,0.24328888888888883,0.006333918101658595,0.1,0.0,0.7937749999999999,0.006809844831236192,3.0183282399957534
0.5,CC,0.64683842899554,0.017842753939479067,0.24328888888888883,0.006333918101658595,0.1,0.0,0.7937749999999999,0.006809844831236192,2.9972146599990084
0.5,GCN,0.5600365049667635,0.04094190358744725,0.24328888888888883,0.006333918101658595,0.1,0.0,0.7937749999999999,0.006809844831236192,24.92615562999854
0.5,ML-KNN,0.5800847552313304,0.03364918570944562,0.24328888888888883,0.006333918101658595,0.1,0.0,0.7937749999999999,0.006809844831236192,1.892698059999384
0.75,BR,0.6730596618408082,0.015324671684093806,0.3432222222222222,0.009512247537968808,0.1,0.0,0.7949657777777778,0.006728934793620021,2.739677599999413
0.75,CC,0.6491088946819408,0.02112356670738225,0.3432222222222222,0.009512247537968808,0.1,0.0,0.7949657777777778,0.006728934793620021,2.838065789999382
0.75,GCN,0.5476676721818423,0.054624264992222525,0.3432222222222222,0.009512247537968808,0.1,0.0,0.7949657777777778,0.006728934793620021,24.829207429998498
0.75,ML-KNN,0.583230020134528,0.03513569190115366,0.3432222222222222,0.009512247537968808,0.1,0.0,0.7949657777777778,0.006728934793620021,2.011384630005341
0.9,BR,0.6782014419578765,0.031713341809547574,0.4197111111111111,0.011194281314866907,0.1,0.0,0.7952583333333334,0.006795071829346727,2.921495290003077
0.9,CC,0.6557262896819582,0.02696875968572292,0.4197111111111111,0.011194281314866907,0.1,0.0,0.7952583333333334,0.006795071829346727,3.035066959998221
0.9,GCN,0.5233780571928057,0.062047145972079616,0.4197111111111111,0.011194281314866907,0.1,0.0,0.7952583333333334,0.006795071829346727,25.052923200001533
0.9,ML-KNN,0.5963888309431971,0.027174417205270335,0.4197111111111111,0.011194281314866907,0.1,0.0,0.7952583333333334,0.006795071829346727,2.1632328199993935
